grp,season,zone,d13C,d15N
G1,Printemps,FS,-17.86,13.32
G1,Printemps,FS,-17.45,13.11
G1,Printemps,FS,-18.83,13.03
G1,Printemps,FS,-18.83,13.08
G1,Printemps,FS,-18.6,12.96
G1,Printemps,FS,-19.49,13.68
G1,Printemps,FS,-18.68,13.25
G1,Printemps,FS,-18.86,12.81
G1,Printemps,FS,-16.07,13.08
G1,Printemps,FS,-15.99,13.36
G1,Printemps,FS,-18.52,12.67
G1,Printemps,FS,-18.1,13.03
G1,Printemps,FS,-15.98,12.85
G1,Printemps,FS,-17.03,12.58
G0,Printemps,EMB,-17.7575,10.702000000000002
G0,Printemps,FN,NA,NA
G0,Printemps,FN,NA,NA
G0,Printemps,FS,NA,NA
G0,Printemps,FS,NA,NA
G0,Printemps,CH,NA,NA
G0,Automne,EMB,NA,NA
G0,Automne,EMB,NA,NA
G0,Automne,EMB,NA,NA
G0,Automne,FN,NA,NA
G0,Automne,FN,NA,NA
G0,Automne,FN,NA,NA
G0,Automne,FS,NA,NA
G0,Automne,FS,NA,NA
G0,Automne,FS,NA,NA
G0,Automne,FS,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,FN,NA,NA
G1,Automne,FS,NA,NA
G1,Automne,FS,NA,NA
G1,Automne,CH,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G1,Automne,EMB,NA,NA
G2,Automne,EMB,-16.2705,14.486
G2,Automne,EMB,-16.3465,13.529
G2,Automne,EMB,-15.8915,13.065
G2,Automne,EMB,-17.1675,13.313
G2,Automne,EMB,-15.7965,14.472
G2,Automne,EMB,-17.1325,12.196
G2,Automne,EMB,-15.0875,13.407
G2,Automne,EMB,-16.3515,13.311
G2,Automne,EMB,-15.9845,12.311
G2,Automne,EMB,-16.1675,13.934000000000001
G2,Automne,EMB,-14.9915,13.618000000000002
