species,d13C,d15N,sample_TAG,zone,season,grp,labels,source,md13C
Nephtys_sp,-21.260368223965152,13.521920190207485,NEPTHOM_14_D1486,Fosse Nord,Printemps,Polychetes,Nephtys sp.,CAPES,21.260368223965152
Nephtys_sp,-21.68782083690612,14.23939468370325,NEPTHOM_BP2_D1490,Fosse Nord,Printemps,Polychetes,Nephtys sp.,CAPES,21.68782083690612
Nephtys_sp,-18.27706957512579,11.856922029042188,NEPTHOM_47_D1461,Embouchure,Automne,Polychetes,Nephtys sp.,CAPES,18.27706957512579
Nephtys_sp,-17.607276753860354,12.061825237081322,NEPTHOM_52_D1430,Embouchure,Automne,Polychetes,Nephtys sp.,CAPES,17.607276753860354
Nephtys_sp,-17.28028754708624,12.243302142300141,NEPTHOM_CAPES2_D1384,Embouchure,Automne,Polychetes,Nephtys sp.,CAPES,17.28028754708624
Nucula_nitidosa,-18.5267116740011,9.159502497450017,NUCUNIT_50_D1456,Embouchure,Automne,Bivalves,Nucula n.,CAPES,18.5267116740011
Nucula_nitidosa,-17.83639681548433,9.517118663817413,NUCUNIT_52_D1429,Embouchure,Automne,Bivalves,Nucula n.,CAPES,17.83639681548433
Owenia_fusiformis,-18.896660385285287,9.709082930617832,OWENFUS_50_D1341,Embouchure,Printemps,Polychetes,Owenia f.,CAPES,18.896660385285287
Owenia_fusiformis,-18.532617474796385,9.522421184928929,OWENFUS_52_D1314,Embouchure,Printemps,Polychetes,Owenia f.,CAPES,18.532617474796385
Owenia_fusiformis,-19.265346141271134,8.531591633375285,OWENFUS_CAPES2_D1542,Embouchure,Printemps,Polychetes,Owenia f.,CAPES,19.265346141271134
Owenia_fusiformis,-17.076870238176536,11.574949432799883,OWENFUS_47_D1460,Embouchure,Automne,Polychetes,Owenia f.,CAPES,17.076870238176536
Owenia_fusiformis,-17.22386891696026,10.977299164627858,OWENFUS_50_D1450,Embouchure,Automne,Polychetes,Owenia f.,CAPES,17.22386891696026
Owenia_fusiformis,-17.68323245276189,10.158911878315319,OWENFUS_52_D1428,Embouchure,Automne,Polychetes,Owenia f.,CAPES,17.68323245276189
Owenia_fusiformis,-17.92873929952572,9.39123562739123,OWENFUS_CAPES2_D1324,Embouchure,Automne,Polychetes,Owenia f.,CAPES,17.92873929952572
Scrobicularia_plana,-19.16655055129332,11.182994421048452,SCROPLA_BP2_D1563,Fosse Nord,Automne,Bivalves,Scrobicularia p.,CAPES,19.16655055129332
Spisula_subtruncata,-18.982614265746026,8.451109899957485,SPISSUB_47_D1323,Embouchure,Printemps,Bivalves,Spisula s.,CAPES,18.982614265746026
Spisula_subtruncata,-18.4799986286469,8.803868137925402,SPISSUB_47_D1327,Embouchure,Printemps,Bivalves,Spisula s.,CAPES,18.4799986286469
